['2024-04-12', '1712894828', 'facebook.com.', '206', 'IN', 'A', '157.240.1.9', '1007740', '223.74.111.155']['A', 'www.383.com.', 'A', 'www.383.com.', '91', '1712888427000', '0.2556234896183014', '866401023', '0', '0', 'ans', '157.240.1.9', '', 'US', '32934', '[32934]', '157.240.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712952438', 'facebook.com.', '69', 'IN', 'A', '50.23.209.199', '53274', '240e:b67:5ed:7500:1:c6ff:fe5f:fe16']['A', 'www.globalsdn.com.', 'A', 'www.globalsdn.com.', '94', '1712887606000', '0.16481366008520126', '866401023', '0', '0', 'ans', '50.23.209.199', '', 'US', '36351', '[36351]', '50.23.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712945285', 'google.com.', '244', 'IN', 'A', '142.250.74.206', '1002827', '92.141.86.16']['A', 'zagonka.sbs.', 'A', 'zagonka.sbs.', '130', '1712880895000', '0.013167202472686768', '866401023', '0', '0', 'ans', '142.250.74.206', '', 'US', '15169', '[15169]', '142.250.74.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712941493', 'google.com.', '60', 'IN', 'A', '93.46.8.90', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['A', 'www.ltapi30532.xyz.', 'A', 'www.ltapi30532.xyz.', '60', '1712888511000', '0.33151207864284515', '866401023', '0', '0', 'ans', '93.46.8.90', '', 'IT', '12874', '[12874]', '93.46.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712955159', 'facebook.com.', '418', 'IN', 'A', '10.10.34.36', '15535', '2001:14e8:0:405:6666:b3ff:fed1:2d5c']['A', 'www.rubik-music.ir.', 'A', 'www.rubik-music.ir.', '418', '1712881882000', '0.1043899655342102', '866401023', '0', '0', 'ans', '10.10.34.36', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948426', 'google.com.', '201', 'IN', 'A', '142.251.39.110', '11035', '85.146.95.127']['A', 'www.pageview.mobi.', 'A', 'www3.l.google.com.', '300', '1712888509000', '0.014382362365722656', '866401023', '0', '0', 'ans', '142.251.39.110', '', 'US', '15169', '[15169]', '142.251.39.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712901961', 'google.com.', '296', 'IN', 'A', '142.250.186.78', '1002827', '92.141.86.16']['A', 'tevas.click.', 'A', 'tevas.click.', '128', '1712883346000', '0.012981623411178589', '866401023', '0', '0', 'ans', '142.250.186.78', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712951106', 'google.com.', '194', 'IN', 'A', '216.58.209.14', '52282', '81.15.239.11']['A', 'www.kinoknopka.club.', 'A', 'www.kinoknopka.club.', '300', '1712881873000', '0.008451998233795166', '866401023', '0', '0', 'ans', '216.58.209.14', '', 'US', '15169', '[15169]', '216.58.209.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712949428', 'facebook.com.', '198', 'IN', 'A', '69.171.242.11', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712885203000', '0.015194341540336609', '866401023', '0', '0', 'ans', '69.171.242.11', '', 'US', '32934', '[32934]', '69.171.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712911764', 'google.com.', '114', 'IN', 'A', '142.250.74.78', '3433', '46.15.33.234']['A', 'www.xyz333.xyz.', 'A', 'www.xyz333.xyz.', '900', '1712883256000', '0.015975773334503174', '866401023', '0', '0', 'ans', '142.250.74.78', '', 'US', '15169', '[15169]', '142.250.74.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
