['2024-04-10', '1712714211', 'twitter.com.', '243', 'IN', 'A', '130.211.15.150', '51162', '120.230.116.212']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712708008000', '0.010205119848251343', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712768788', 'twitter.com.', '252', 'IN', 'A', '128.242.240.189', '1003935', '159.75.8.103']['A', 'jinse.com.', 'A', 'jinse.com.', '66', '1712711577000', '18.662020936608315', '866401023', '0', '0', 'ans', '128.242.240.189', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712771413', 'nytimes.com.', '204', 'IN', 'A', '199.16.156.7', '1000418', '2408:4005:200:5006::1']['A', 'dililitv.com.', 'A', 'dililitv.com.', '229', '1712713582000', '0.25021517276763916', '866401023', '0', '0', 'ans', '199.16.156.7', '', 'US', '13414', '[13414]', '199.16.156.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712718783', 'nytimes.com.', '253', 'IN', 'A', '173.252.88.133', '1003715', '159.75.8.103']['A', '114zw.la.', 'A', '114zw.la.', '234', '1712715206000', '0.2630365341901779', '866401023', '0', '0', 'ans', '173.252.88.133', '', 'US', '32934', '[32934]', '173.252.88.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712772368', 'twitter.com.', '60', 'IN', 'A', '10.10.34.35', '60191', '2a01:5ec0:1004:132f:da58:d7ff:fe03:852']['A', 'www.jd-vpn.shop.', 'A', 'www.jd-vpn.shop.', '300', '1712711211000', '0.006547749042510986', '866401023', '0', '0', 'ans', '10.10.34.35', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712769575', 'univ-grenoble-alpes.fr.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'dc-storm.com.', 'A', 'dc-storm.com.', '86400', '1712709823000', '0.010474085807800293', '866401023', '0', '1', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712715982', 'twitter.com.', '187', 'IN', 'A', '104.244.46.208', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['A', 'hanjutv.com.', 'A', 'hanjutv.com.', '187', '1712710912000', '0.24565452337265015', '866401023', '0', '0', 'ans', '104.244.46.208', '', 'US', '13414', '[13414]', '104.244.46.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712776362', 'twitter.com.', '124', 'IN', 'A', '111.243.214.169', '1007740', '120.229.116.170']['A', 'www.cdaxpropsvc.net.', 'A', 'www.cdaxpropsvc.net.', '248', '1712714813000', '0.22752076387405396', '866401023', '0', '0', 'ans', '111.243.214.169', '', 'TW', '3462', '[3462]', '111.243.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712725526', 'nytimes.com.', '176', 'IN', 'A', '159.138.20.20', '1003540', '59.110.139.81']['A', 'cdaxpropsvc.net.', 'A', 'cdaxpropsvc.net.', '182', '1712714813000', '0.4708697199821472', '866401023', '0', '0', 'ans', '159.138.20.20', '', 'HK', '136907', '[136907]', '159.138.20.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712765922', 'nytimes.com.', '172', 'IN', 'A', '69.171.224.36', '1003982', '113.113.124.75']['A', 'yunxs.com.', 'A', 'yunxs.com.', '77', '1712708020000', '1.9058401584625244', '866401023', '0', '0', 'ans', '69.171.224.36', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
