['2024-04-10', '1712761986', 'nytimes.com.', '243', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '1003715', '159.75.8.103']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '82', '1712710290000', '0.7491748481988907', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712761672', 'twitter.com.', '143', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '1003715', '159.75.8.103']['AAAA', 'www.181.com.', 'AAAA', 'www.181.com.', '218', '1712712190000', '0.2194351851940155', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712766479', 'twitter.com.', '180', 'IN', 'AAAA', '2a03:2880:f126:83:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '123', '1712710994000', '0.22836144268512726', '866401023', '0', '0', 'ans', '', '2a03:2880:f126:83:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712774450', 'twitter.com.', '243', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '1005595', '59.110.138.30']['AAAA', 'dililitv.com.', 'AAAA', 'dililitv.com.', '206', '1712713582000', '0.2616897225379944', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712761586', 'twitter.com.', '73', 'IN', 'AAAA', '2a03:2880:f127:83:face:b00c:0:25de', '14584', '110.231.228.80']['AAAA', 'www.texcn.cn.', 'AAAA', 'www.texcn.cn.', '253', '1712709627000', '0.24512436985969543', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712773485', 'nytimes.com.', '204', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'www.meijutt.com.', 'AAAA', 'www.meijutt.com.', '169', '1712709787000', '0.2761389836668968', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712719401', 'nytimes.com.', '233', 'IN', 'AAAA', '2a03:2880:f112:83:face:b00c:0:25de', '51162', '2409:8a55:427:d490:1:adff:fe4f:ea7b']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '98', '1712711818000', '0.37488797307014465', '866401023', '0', '0', 'ans', '', '2a03:2880:f112:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f112::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712714567', 'nytimes.com.', '198', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['AAAA', 'mp4ba.com.', 'AAAA', 'mp4ba.com.', '254', '1712709823000', '0.2154248282313347', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712762672', 'nytimes.com.', '249', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['AAAA', 'www.clg88.cc.', 'AAAA', 'www.clg88.cc.', '127', '1712709138000', '1.0572468042373657', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712771406', 'nytimes.com.', '198', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '1000418', '2408:4005:200:5006::1']['AAAA', 'globalsdn.com.', 'AAAA', 'globalsdn.com.', '140', '1712715193000', '0.24021221697330475', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712776044', 'twitter.com.', '188', 'IN', 'AAAA', '2a03:2880:f10c:83:face:b00c:0:25de', '1007740', '120.229.116.170']['AAAA', 'aichatos.com.', 'AAAA', 'aichatos.com.', '73', '1712708216000', '0.12426471710205078', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712726770', 'nytimes.com.', '114', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'www.mp4ba.com.', 'AAAA', 'www.mp4ba.com.', '235', '1712709824000', '1.1350461542606354', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
