['2024-04-10', '1712769571', 'facebook.com.', '27', 'IN', 'AAAA', '2a03:2880:f134:183:face:b00c:0:25de', '2567', '73.243.201.118']['AAAA', 'texcn.cn.', 'AAAA', 'texcn.cn.', '161', '1712709627000', '0.14422810077667236', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712778969', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f10d:83:face:b00c:0:25de', '31313', '142.129.67.192']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '113', '1712710874000', '1.2470996379852295', '866401023', '0', '0', 'ans', '', '2a03:2880:f10d:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f10d::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712776568', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f173:81:face:b00c:0:25de', '51625', '62.45.43.187']['AAAA', 'fbsbx.com.', 'AAAA', 'fbsbx.com.', '60', '1712709629000', '0.016656994819641113', '866401023', '0', '0', 'ans', '', '2a03:2880:f173:81:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f173::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712781135', 'facebook.com.', '147', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '1006296', '46.253.164.68']['AAAA', 'mp4ba.com.', 'AAAA', 'mp4ba.com.', '254', '1712709823000', '0.2154248282313347', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712762584', 'facebook.com.', '34', 'IN', 'AAAA', '2a03:2880:f112:83:face:b00c:0:25de', '55460', '100.8.179.44']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '98', '1712711818000', '0.37488797307014465', '866401023', '0', '0', 'ans', '', '2a03:2880:f112:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f112::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712737981', 'facebook.com.', '66', 'IN', 'AAAA', '2a03:2880:f127:283:face:b00c:0:25de', '1003715', '159.75.8.103']['AAAA', 'meijutt.com.', 'AAAA', 'meijutt.com.', '139', '1712709786000', '0.2241811752319336', '866401023', '0', '0', 'ans', '', '2a03:2880:f127:283:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712737769', 'facebook.com.', '170', 'IN', 'AAAA', '2a03:2880:f117:83:face:b00c:0:25de', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['AAAA', 'dililitv.com.', 'AAAA', 'dililitv.com.', '206', '1712713582000', '0.2616897225379944', '866401023', '0', '0', 'ans', '', '2a03:2880:f117:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712736688', 'facebook.com.', '57', 'IN', 'AAAA', '2a03:2880:f12c:183:face:b00c:0:25de', '55209', '104.49.197.187']['AAAA', 'hanjutv.com.', 'AAAA', 'hanjutv.com.', '188', '1712710912000', '0.22712266445159912', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712771276', 'facebook.com.', '29', 'IN', 'AAAA', '2a03:2880:f145:82:face:b00c:0:25de', '1002827', '92.141.86.16']['AAAA', 'www.fbook.mobi.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712716228000', '0.0070035457611083984', '866401023', '0', '0', 'ans', '', '2a03:2880:f145:82:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880:f145::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712768589', 'facebook.com.', '139', 'IN', 'AAAA', '2a03:2880:f102:183:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', 'avninga.com.', 'AAAA', 'avninga.com.', '155', '1712711605000', '0.13234323263168335', '866401023', '0', '0', 'ans', '', '2a03:2880:f102:183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712783127', 'facebook.com.', '222', 'IN', 'AAAA', '2a03:2880:f11b:83:face:b00c:0:25de', '1000418', '2408:4005:200:5006::1']['AAAA', '181.com.', 'AAAA', '181.com.', '252', '1712712190000', '0.12352969497442245', '866401023', '0', '0', 'ans', '', '2a03:2880:f11b:83:face:b00c:0:25de', 'NL', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712778420', 'facebook.com.', '169', 'IN', 'AAAA', '2a03:2880:f10f:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'www.clg88.cc.', 'AAAA', 'www.clg88.cc.', '127', '1712709138000', '1.0572468042373657', '866401023', '0', '0', 'ans', '', '2a03:2880:f10f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10f::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712732649', 'facebook.com.', '156', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '1000418', '47.98.98.98']['AAAA', 'm88sb.com.', 'AAAA', 'm88sb.com.', '82', '1712710290000', '0.7491748481988907', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-10', '1712783020', 'facebook.com.', '18', 'IN', 'AAAA', '2a03:2880:f10e:83:face:b00c:0:25de', '62864', '99.228.140.194']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '208', '1712710875000', '0.24300889670848846', '866401023', '0', '0', 'ans', '', '2a03:2880:f10e:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10e::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
