['2024-04-13', '1713040429', 'google.com.', '171', 'IN', 'A', '142.250.186.174', '60767', '82.41.220.28']['A', 'lordfilms-s.one.', 'A', 'lordfilms-s.one.', '90', '1712967047000', '0.012407302856445312', '866401023', '0', '0', 'ans', '142.250.186.174', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712984760', 'facebook.com.', '231', 'IN', 'A', '162.125.32.15', '1005595', '59.110.138.30']['A', 'www.77169.com.', 'A', 'www.77169.com.', '159', '1712974550000', '0.23012840747833252', '866401023', '0', '0', 'ans', '162.125.32.15', '', 'US', '19679', '[19679]', '162.125.32.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713036263', 'google.com.', '45', 'IN', 'A', '172.217.23.110', '62173', '31.19.78.172']['A', 'kinotik.cam.', 'A', 'kinotik.cam.', '174', '1712967238000', '0.011687636375427246', '866401023', '0', '0', 'ans', '172.217.23.110', '', 'DE', '15169', '[15169]', '172.217.23.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713042960', 'google.com.', '105', 'IN', 'A', '216.58.209.14', '11003', '91.226.35.250']['A', 'www.kinoknopka.club.', 'A', 'www.kinoknopka.club.', '300', '1712968333000', '0.0057599544525146484', '866401023', '0', '0', 'ans', '216.58.209.14', '', 'US', '15169', '[15169]', '216.58.209.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712991291', 'facebook.com.', '72', 'IN', 'A', '130.211.15.150', '1005595', '59.110.138.30']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712967117000', '0.008519768714904785', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713034947', 'google.com.', '171', 'IN', 'A', '142.250.185.206', '20973', '188.123.99.99']['A', 'kinomania.link.', 'A', 'kinomania.link.', '147', '1712967798000', '0.013398610055446625', '866401023', '0', '0', 'ans', '142.250.185.206', '', 'US', '15169', '[15169]', '142.250.185.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712985004', 'facebook.com.', '123', 'IN', 'A', '108.160.170.33', '55328', '36.24.99.172']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '219', '1712974542000', '0.227868914604187', '866401023', '0', '0', 'ans', '108.160.170.33', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712982124', 'facebook.com.', '250', 'IN', 'A', '69.171.229.11', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['A', 'thefacebook.co.in.', 'A', 'thefacebook.co.in.', '86400', '1712971654000', '0.01001042127609253', '866401023', '0', '0', 'ans', '69.171.229.11', '', 'US', '32934', '[32934]', '69.171.224.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713038103', 'google.com.', '139', 'IN', 'A', '172.217.16.142', '62173', '31.19.78.172']['A', 'xn--80anchijh.cam.', 'A', 'xn--80anchijh.cam.', '31', '1712967542000', '0.018495142459869385', '866401023', '0', '0', 'ans', '172.217.16.142', '', 'US', '15169', '[15169]', '172.217.16.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713040195', 'google.com.', '184', 'IN', 'A', '142.250.184.206', '15093', '45.80.168.194']['A', 'kinoz.homes.', 'A', 'kinoz.homes.', '41', '1712972435000', '0.011117592453956604', '866401023', '0', '0', 'ans', '142.250.184.206', '', 'US', '15169', '[15169]', '142.250.184.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
