['2024-04-11', '1712827055', 'google.com.', '59', 'IN', 'A', '216.58.214.14', '29989', '84.87.175.131']['A', 'youtube.com.jm.', 'A', 'youtube.com.jm.', '300', '1712796551000', '0.009214043617248535', '866401023', '0', '0', 'ans', '216.58.214.14', '', 'US', '15169', '[15169]', '216.58.214.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712856198', 'facebook.com.', '81', 'IN', 'A', '199.16.156.103', '61553', '58.23.45.62']['A', 'm88sb.com.', 'A', 'm88sb.com.', '130', '1712796311000', '0.25444383919239044', '866401023', '0', '0', 'ans', '199.16.156.103', '', 'US', '13414', '[13414]', '199.16.156.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712867750', 'facebook.com.', '74', 'IN', 'A', '75.126.135.131', '1005525', '39.107.25.235']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '124', '1712801585000', '0.36611059308052063', '866401023', '0', '0', 'ans', '75.126.135.131', '', 'US', '36351', '[36351]', '75.126.128.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712855755', 'facebook.com.', '251', 'IN', 'A', '118.107.180.216', '55328', '115.195.150.175']['A', 'www.texcn.cn.', 'A', 'www.texcn.cn.', '187', '1712795598000', '0.132706880569458', '866401023', '0', '0', 'ans', '118.107.180.216', '', 'PS', '12975', '[12975]', '118.107.180.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712869907', 'ripe.net.', '0', 'IN', 'A', '10.0.0.1', '62194', '98.53.206.239']['A', 'web.pk.', 'A', 'web.pk.', '86400', '1712799111000', '0.17805856466293335', '866401023', '0', '0', 'ans', '10.0.0.1', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712854246', 'ripe.net.', '60', 'IN', 'A', '208.91.112.55', '33832', '82.66.48.205']['A', 'www.edenorte.com.do.', 'A', 'www.edenorte.com.do.', '60', '1712795017000', '0.12998133897781372', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712853915', 'facebook.com.', '183', 'IN', 'A', '199.16.158.182', '60314', '180.154.35.109']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '223', '1712797033000', '0.16073161363601685', '866401023', '0', '0', 'ans', '199.16.158.182', '', 'US', '13414', '[13414]', '199.16.156.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712869616', 'google.com.', '60', 'IN', 'A', '46.82.174.69', '1000418', '2408:4005:200:5006::1']['A', 'i5cloud.com.', 'A', 'i5cloud.com.', '60', '1712800032000', '0.3396773040294647', '866401023', '0', '1', 'ans', '46.82.174.69', '', 'DE', '3320', '[3320]', '46.80.0.0/12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712854535', 'facebook.com.', '11', 'IN', 'A', '157.240.201.35', '31971', '2a02:2788:284:bbd:a62b:b0ff:fef1:5966']['A', 'www.facebook.com.tr.', 'A', 'star-mini.c10r.facebook.com.', '60', '1712800320000', '0.03016185760498047', '866401023', '0', '0', 'ans', '157.240.201.35', '', 'NL', '32934', '[32934]', '157.240.201.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712822256', 'google.com.', '21', 'IN', 'A', '142.250.181.238', '62173', '2a02:810d:aa3f:e55f:da58:d7ff:fe03:a3b']['A', 'kinotiks.com.', 'A', 'kinotiks.com.', '72', '1712796896000', '0.014253616333007812', '866401023', '0', '0', 'ans', '142.250.181.238', '', 'US', '15169', '[15169]', '142.250.181.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
