['2024-04-12', '1712944993', 'twitter.com.', '112', 'IN', 'A', '108.160.165.173', '1005738', '47.108.31.175']['A', 'mp4ba.com.', 'A', 'mp4ba.com.', '188', '1712882268000', '0.23876160383224487', '866401023', '0', '0', 'ans', '108.160.165.173', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712895487', 'nytimes.com.', '238', 'IN', 'A', '210.56.51.193', '55328', '240e:390:893:5b20:1:75ff:feac:24bb']['A', 'meijutt.com.', 'A', 'meijutt.com.', '168', '1712882232000', '0.24914652109146118', '866401023', '0', '0', 'ans', '210.56.51.193', '', 'HK', '152194', '"[152194', '64050]"', '210.56.48.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712943292', 'nytimes.com.', '170', 'IN', 'A', '104.244.46.52', '61553', '2408:8248:1a13:1260:da58:d7ff:fe03:103']['A', 'www.8bqg.net.', 'A', 'www.8bqg.net.', '189', '1712887223000', '0.23287123441696167', '866401023', '0', '0', 'ans', '104.244.46.52', '', 'US', '13414', '[13414]', '104.244.46.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712901706', 'nytimes.com.', '157', 'IN', 'A', '148.163.48.215', '1005738', '47.108.31.175']['A', 'aichatos.com.', 'A', 'aichatos.com.', '131', '1712880863000', '0.2436227798461914', '866401023', '0', '0', 'ans', '148.163.48.215', '', 'US', '53755', '[53755]', '148.163.48.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712949556', 'paypal.com.', '59', 'IN', 'A', '151.101.129.21', '26439', '2a10:d582:280b:0:c66e:1fff:fe3a:d734']['A', 'buyindiaonline.com.', 'A', 'buyindiaonline.com.', '300', '1712887813000', '0.012674212455749512', '866401023', '0', '1', 'ans', '151.101.129.21', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712933696', 'twitter.com.', '87', 'IN', 'A', '4.78.139.54', '1005739', '112.74.38.239']['A', 'www.mhradio.org.', 'A', 'mhradio.org.', '3600', '1712882202000', '0.0325796976685524', '866401023', '0', '0', 'ans', '4.78.139.54', '', 'US', '3356', '[3356]', '4.0.0.0/9', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712947154', 'twitter.com.', '2170', 'IN', 'A', '104.244.42.129', '1006193', '2400:5240:3000:1:94c4:6fff:fec5:f0f4']['A', 'twitter.jp.', 'A', 'twitter.jp.', '1800', '1712888539000', '0.006755553185939789', '866401023', '0', '0', 'ans', '104.244.42.129', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712890563', 'nytimes.com.', '92', 'IN', 'A', '199.59.149.232', '1007740', '223.74.111.155']['A', 'maxreader.net.', 'A', 'maxreader.net.', '88', '1712883839000', '0.23567262291908264', '866401023', '0', '0', 'ans', '199.59.149.232', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712948552', 'twitter.com.', '1738', 'IN', 'A', '104.244.42.193', '55655', '2601:602:8901:f270:1:42ff:fe58:b864']['A', 'www.twitter.jp.', 'A', 'twitter.com.', '1800', '1712888539000', '0.039613306522369385', '866401023', '0', '0', 'ans', '104.244.42.193', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712890727', 'nytimes.com.', '175', 'IN', 'A', '162.125.80.5', '1006022', '58.41.14.231']['A', 'www.maxreader.net.', 'A', 'www.maxreader.net.', '186', '1712883839000', '0.17161712050437927', '866401023', '0', '0', 'ans', '162.125.80.5', '', 'US', '19679', '[19679]', '162.125.80.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-12', '1712939826', 'nytimes.com.', '103', 'IN', 'A', '108.160.167.167', '18192', '158.132.12.21']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '138', '1712883435000', '0.2359924465417862', '866401023', '0', '0', 'ans', '108.160.167.167', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
