['2024-04-09', '1712689941', 'nytimes.com.', '205', 'IN', 'AAAA', '2a03:2880:f111:83:face:b00c:0:25de', '1001082', '240e:6b3:20:ff05::135']['AAAA', 'www.avninga.com.', 'AAAA', 'www.avninga.com.', '66', '1712624868000', '0.24435332417488098', '866401023', '0', '0', 'ans', '', '2a03:2880:f111:83:face:b00c:0:25de', 'US', '32934', '[32934]', '2a03:2880:f111::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712646741', 'nytimes.com.', '220', 'IN', 'AAAA', '2a03:2880:f10e:83:face:b00c:0:25de', '1001082', '240e:6b3:20:ff05::135']['AAAA', 'www.hanjutv.com.', 'AAAA', 'www.hanjutv.com.', '161', '1712624286000', '0.2392360270023346', '866401023', '0', '0', 'ans', '', '2a03:2880:f10e:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10e::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712644652', 'twitter.com.', '230', 'IN', 'AAAA', '2a03:2880:f12d:83:face:b00c:0:25de', '1000418', '2408:4005:200:5006::1']['AAAA', 'www.m88sb.com.', 'AAAA', 'www.m88sb.com.', '216', '1712623683000', '0.2326507270336151', '866401023', '0', '0', 'ans', '', '2a03:2880:f12d:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712687087', 'nytimes.com.', '191', 'IN', 'AAAA', '2a03:2880:f11a:83:face:b00c:0:25de', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['AAAA', 'hideipproxy.com.', 'AAAA', 'hideipproxy.com.', '91', '1712624371000', '0.24399518966674805', '866401023', '0', '0', 'ans', '', '2a03:2880:f11a:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712672743', 'twitter.com.', '156', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['AAAA', '1xbet88.com.', 'AAAA', '1xbet88.com.', '108', '1712621570000', '0.26269688457250595', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712628294', 'twitter.com.', '234', 'IN', 'AAAA', '2a03:2880:f10c:83:face:b00c:0:25de', '53274', '240e:b65:40a:8400:1:c6ff:fe5f:fe16']['AAAA', '39shubao.com.', 'AAAA', '39shubao.com.', '181', '1712627325000', '0.32867221534252167', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712673643', 'nytimes.com.', '160', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '54725', '2409:8a55:2ea7:6010:1:20ff:fe20:90fc']['AAAA', 'www.1xbet88.com.', 'AAAA', 'www.1xbet88.com.', '208', '1712621570000', '0.1472839117050171', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712678531', 'nytimes.com.', '160', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '60314', '180.154.35.109']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '209', '1712624250000', '0.23879697918891907', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712683568', 'nytimes.com.', '218', 'IN', 'AAAA', '2a03:2880:f11c:8083:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '161', '1712625070000', '0.33071447908878326', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8083:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712636888', 'nytimes.com.', '94', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '55328', '115.195.150.175']['AAAA', '114zw.la.', 'AAAA', '114zw.la.', '148', '1712628485000', '0.25502049922943115', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712641313', 'nytimes.com.', '210', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '1006779', '115.218.236.183']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '164', '1712625070000', '0.22676098346710205', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
