['2024-04-09', '1712676542', 'nytimes.com.', '80', 'IN', 'A', '185.45.7.185', '1003936', '159.75.8.103']['A', '1xbet88.com.', 'A', '1xbet88.com.', '75', '1712621569000', '0.250724196434021', '866401023', '0', '0', 'ans', '185.45.7.185', '', 'GB', '35995', '[35995]', '185.45.6.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712636287', 'nytimes.com.', '192', 'IN', 'A', '31.13.64.7', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['A', 'www.1xbet88.com.', 'A', 'www.1xbet88.com.', '91', '1712621569000', '0.23026472330093384', '866401023', '0', '0', 'ans', '31.13.64.7', '', 'IE', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712685994', 'nytimes.com.', '61', 'IN', 'A', '151.101.1.164', '31313', '2603:8000:100:6f01:ee08:6bff:fe73:4414']['A', 'iht.com.', 'A', 'iht.com.', '300', '1712626783000', '0.006286680698394775', '866401023', '0', '0', 'ans', '151.101.1.164', '', 'US', '54113', '[54113]', '151.101.0.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712643726', 'twitter.com.', '125', 'IN', 'A', '31.13.95.18', '1001082', '116.6.54.135']['A', 's.top.', 'A', 's.top.', '97', '1712627553000', '0.8980973362922668', '866401023', '0', '0', 'ans', '31.13.95.18', '', 'ID', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712631771', 'nytimes.com.', '201', 'IN', 'A', '88.191.249.183', '60314', '180.154.35.109']['A', 'ibkr.hk.', 'A', 'ibkr.hk.', '158', '1712626807000', '0.7475631237030029', '866401023', '0', '0', 'ans', '88.191.249.183', '', 'FR', '12322', '[12322]', '88.176.0.0/12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712682759', 'twitter.com.', '103', 'IN', 'A', '157.240.12.35', '62897', '27.38.112.69']['A', 'cdaxpropsvc.net.', 'A', 'cdaxpropsvc.net.', '241', '1712628054000', '0.4580966681241989', '866401023', '0', '0', 'ans', '157.240.12.35', '', 'BR', '32934', '[32934]', '157.240.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712681915', 'nytimes.com.', '152', 'IN', 'A', '185.60.219.41', '1003540', '59.110.139.81']['A', 'mp4ba.com.', 'A', 'mp4ba.com.', '194', '1712623213000', '0.2292456030845642', '866401023', '0', '0', 'ans', '185.60.219.41', '', 'FR', '32934', '[32934]', '185.60.219.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712686917', 'twitter.com.', '160', 'IN', 'A', '130.211.15.150', '1002087', '111.203.76.21']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712621624000', '0.014512807130813599', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712687958', 'nytimes.com.', '2376', 'IN', 'A', '151.101.129.164', '1006193', '2400:5240:3000:1:94c4:6fff:fec5:f0f4']['A', 'iht.com.', 'A', 'iht.com.', '300', '1712626783000', '0.006286680698394775', '866401023', '0', '0', 'ans', '151.101.129.164', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712633077', 'nytimes.com.', '103', 'IN', 'A', '31.13.87.19', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['A', 'www.xyusk.com.', 'A', 'www.xyusk.com.', '215', '1712628933000', '0.3317159563302994', '866401023', '0', '0', 'ans', '31.13.87.19', '', 'TW', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
