['2024-04-11', '1712809293', 'twitter.com.', '229', 'IN', 'A', '69.171.242.11', '1007890', '112.48.5.95']['A', 'facebook.com.tr.', 'A', 'facebook.com.tr.', '86400', '1712800320000', '0.016163110733032227', '866401023', '0', '0', 'ans', '69.171.242.11', '', 'US', '32934', '[32934]', '69.171.240.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712861561', 'nytimes.com.', '166', 'IN', 'A', '108.160.163.102', '62897', '2408:8256:3311:1a60:da58:d7ff:fe03:afc']['A', '383.com.', 'A', '383.com.', '142', '1712801980000', '0.73865807056427', '866401023', '0', '0', 'ans', '108.160.163.102', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712858068', 'twitter.com.', '142', 'IN', 'A', '108.160.170.26', '1006180', '43.143.181.224']['A', 'www.raidcall.com.', 'A', 'www.raidcall.com.', '148', '1712797745000', '0.24447889626026154', '866401023', '0', '0', 'ans', '108.160.170.26', '', 'US', '19679', '[19679]', '108.160.160.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712858494', 'twitter.com.', '96', 'IN', 'A', '130.211.15.150', '1005738', '47.108.137.128']['A', 'ntdtv.com.', 'A', 'ntdtv.com.', '3600', '1712794182000', '0.008888483047485352', '866401023', '0', '0', 'ans', '130.211.15.150', '', 'US', '396982', '[396982]', '130.211.0.0/17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712847624', 'twitter.com.', '118', 'IN', 'A', '74.86.12.172', '1003540', '59.110.139.81']['A', 'globalsdn.com.', 'A', 'globalsdn.com.', '191', '1712801266000', '0.243385910987854', '866401023', '0', '0', 'ans', '74.86.12.172', '', 'US', '36351', '[36351]', '74.86.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712800969', 'twitter.com.', '168', 'IN', 'A', '128.121.243.75', '1006022', 'fd00:114:514:4:dcb0:cdff:fe1c:e2a4']['A', 'texcn.cn.', 'A', 'texcn.cn.', '73', '1712795598000', '0.15077823400497437', '866401023', '0', '0', 'ans', '128.121.243.75', '', 'US', '2914', '[2914]', '128.121.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712805336', 'twitter.com.', '113', 'IN', 'A', '199.59.150.44', '1003936', '159.75.8.103']['A', '1xbet88.com.', 'A', '1xbet88.com.', '146', '1712794089000', '0.24892878532409668', '866401023', '0', '0', 'ans', '199.59.150.44', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712856490', 'univ-grenoble-alpes.fr.', '60', 'IN', 'A', '208.91.112.55', '55290', '212.114.28.87']['A', 'www.edenorte.com.do.', 'A', 'www.edenorte.com.do.', '60', '1712795017000', '0.12998133897781372', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712801810', 'twitter.com.', '179', 'IN', 'A', '157.240.7.5', '1005595', '2408:400a:7c:4301:c2bd:8008:b428:cfca']['A', 'meijutt.com.', 'A', 'meijutt.com.', '161', '1712795807000', '0.23253338038921356', '866401023', '0', '0', 'ans', '157.240.7.5', '', 'SG', '32934', '[32934]', '157.240.7.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-11', '1712860757', 'paypal.com.', '2182', 'IN', 'A', '151.101.129.21', '1006193', '2400:5240:3000:1:94c4:6fff:fec5:f0f4']['A', 'venmo-experience.com.', 'A', 'venmo-experience.com.', '300', '1712799751000', '0.08410647511482239', '866401023', '0', '1', 'ans', '151.101.129.21', '', 'US', '54113', '[54113]', '151.101.128.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
