['2024-04-13', '1713029292', 'univ-grenoble-alpes.fr.', '60', 'IN', 'A', '208.91.112.55', '55290', '212.114.28.87']['A', 'fiscalizacion.cl.', 'A', 'fiscalizacion.cl.', '60', '1712968599000', '2.473137378692627', '866401023', '0', '0', 'ans', '208.91.112.55', '', 'US', '40934', '[40934]', '208.91.112.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713035230', 'twitter.com.', '60', 'IN', 'A', '10.10.34.35', '7027', '2a05:9a00:1001:1::2']['A', 'www.jd-vpn.shop.', 'A', 'www.jd-vpn.shop.', '300', '1712970088000', '0.0068686604499816895', '866401023', '0', '0', 'ans', '10.10.34.35', '', '-', '--', '[--]', '--', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712990323', 'nytimes.com.', '148', 'IN', 'A', '199.59.150.49', '63067', '111.37.149.21']['A', 'www.mp4ba.com.', 'A', 'www.mp4ba.com.', '105', '1712968751000', '0.23347187042236328', '866401023', '0', '0', 'ans', '199.59.150.49', '', 'US', '13414', '[13414]', '199.59.148.0/22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712975085', 'nytimes.com.', '160', 'IN', 'A', '162.125.18.133', '1005739', '112.74.38.239']['A', 'www.meijutt.com.', 'A', 'www.meijutt.com.', '149', '1712968716000', '0.24546879529953003', '866401023', '0', '0', 'ans', '162.125.18.133', '', 'US', '19679', '[19679]', '162.125.16.0/20', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712992035', 'nytimes.com.', '185', 'IN', 'A', '50.23.209.199', '1000418', '2408:4005:200:5006::1']['A', 'www.91mjw.com.', 'A', 'www.91mjw.com.', '69', '1712969883000', '0.2471611499786377', '866401023', '0', '0', 'ans', '50.23.209.199', '', 'US', '36351', '[36351]', '50.23.192.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713016461', 'nytimes.com.', '189', 'IN', 'A', '31.13.81.4', '1005739', '112.74.38.239']['A', 'www.cdaxpropsvc.net.', 'A', 'www.cdaxpropsvc.net.', '233', '1712973634000', '0.2271362543106079', '866401023', '0', '0', 'ans', '31.13.81.4', '', 'PL', '32934', '[32934]', '31.13.64.0/18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712989320', 'twitter.com.', '150', 'IN', 'A', '67.15.129.210', '1002087', '111.203.76.21']['A', 'www.hideipproxy.com.', 'A', 'www.hideipproxy.com.', '160', '1712969934000', '0.15599197149276733', '866401023', '0', '0', 'ans', '67.15.129.210', '', 'US', '36351', '[36351]', '67.15.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712976593', 'twitter.com.', '186', 'IN', 'A', '128.242.240.212', '51162', '120.235.184.22']['A', 'texcn.cn.', 'A', 'texcn.cn.', '96', '1712968540000', '0.12911931425333023', '866401023', '0', '0', 'ans', '128.242.240.212', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1713034953', 'twitter.com.', '1394', 'IN', 'A', '104.244.42.129', '55655', '2601:602:8901:f270:1:42ff:fe58:b864']['A', 'www.x.com.', 'A', 'x.com.', '1800', '1712968807000', '0.02734425663948059', '866401023', '0', '0', 'ans', '104.244.42.129', '', 'US', '13414', '[13414]', '104.244.42.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-13', '1712977814', 'twitter.com.', '195', 'IN', 'A', '173.252.105.21', '14584', '2408:821a:1722:c00:6666:b3ff:feb0:eca4']['A', '8bqg.net.', 'A', '8bqg.net.', '252', '1712973705000', '0.23314592242240906', '866401023', '0', '0', 'ans', '173.252.105.21', '', 'US', '32934', '[32934]', '173.252.96.0/19', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
