['2024-04-09', '1712691568', 'facebook.com.', '81', 'IN', 'AAAA', '2a03:2880:f11f:83:face:b00c:0:25de', '1001082', '240e:6b3:20:ff05::135']['AAAA', 'dililitv.com.', 'AAAA', 'dililitv.com.', '122', '1712626819000', '0.2737429141998291', '866401023', '0', '0', 'ans', '', '2a03:2880:f11f:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690167', 'facebook.com.', '59', 'IN', 'AAAA', '2a03:2880:f173:81:face:b00c:0:25de', '51625', '62.45.43.187']['AAAA', 'www.registrarsafe.com.', 'AAAA', 'star-mini.c10r.facebook.com.', '60', '1712627521000', '0.00026300549507141113', '866401023', '0', '0', 'ans', '', '2a03:2880:f173:81:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f173::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712690445', 'facebook.com.', '25', 'IN', 'AAAA', '2a03:2880:f12c:83:face:b00c:0:25de', '51812', '104.56.90.236']['AAAA', 'www.maxreader.net.', 'AAAA', 'www.maxreader.net.', '204', '1712624846000', '0.2589047849178314', '866401023', '0', '0', 'ans', '', '2a03:2880:f12c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f12c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712696111', 'facebook.com.', '34', 'IN', 'AAAA', '2a03:2880:f131:83:face:b00c:0:25de', '51943', '67.181.147.174']['AAAA', 'www.9txs.com.', 'AAAA', 'www.9txs.com.', '99', '1712623310000', '0.667310506105423', '866401023', '0', '0', 'ans', '', '2a03:2880:f131:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f131::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712681985', 'facebook.com.', '242', 'IN', 'AAAA', '2a03:2880:f130:83:face:b00c:0:25de', '1003540', '59.110.139.81']['AAAA', '1xbet88.com.', 'AAAA', '1xbet88.com.', '108', '1712621570000', '0.26269688457250595', '866401023', '0', '0', 'ans', '', '2a03:2880:f130:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712694737', 'facebook.com.', '53', 'IN', 'AAAA', '2a03:2880:f10c:83:face:b00c:0:25de', '1006296', '46.253.164.68']['AAAA', '39shubao.com.', 'AAAA', '39shubao.com.', '181', '1712627325000', '0.32867221534252167', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712638990', 'facebook.com.', '92', 'IN', 'AAAA', '2a03:2880:f10c:283:face:b00c:0:25de', '63067', '2409:8a3c:5118:64f0:da58:d7ff:fe03:5d9']['AAAA', '91mjw.com.', 'AAAA', '91mjw.com.', '209', '1712624250000', '0.23879697918891907', '866401023', '0', '0', 'ans', '', '2a03:2880:f10c:283:face:b00c:0:25de', 'SG', '32934', '[32934]', '2a03:2880:f10c::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712697197', 'facebook.com.', '106', 'IN', 'AAAA', '2a03:2880:f129:83:face:b00c:0:25de', '1007740', '2409:8a55:d84e:7c31:fc82:9ff:fe9a:b658']['AAAA', 'www.91mjw.com.', 'AAAA', 'www.91mjw.com.', '183', '1712624250000', '0.7104492485523224', '866401023', '0', '0', 'ans', '', '2a03:2880:f129:83:face:b00c:0:25de', 'GB', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712686499', 'facebook.com.', '121', 'IN', 'AAAA', '2a03:2880:f11c:8083:face:b00c:0:25de', '1005736', '101.132.145.132']['AAAA', 'www.raidcall.com.', 'AAAA', 'www.raidcall.com.', '161', '1712625070000', '0.33071447908878326', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8083:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712696622', 'facebook.com.', '40', 'IN', 'AAAA', '2a03:2880:f10e:83:face:b00c:0:25de', '62864', '99.228.140.194']['AAAA', 'www.hanjutv.com.', 'AAAA', 'www.hanjutv.com.', '161', '1712624286000', '0.2392360270023346', '866401023', '0', '0', 'ans', '', '2a03:2880:f10e:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10e::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712679410', 'facebook.com.', '177', 'IN', 'AAAA', '2a03:2880:f11c:8183:face:b00c:0:25de', '55328', '240e:390:898:1140:1:75ff:feac:24bb']['AAAA', 'raidcall.com.', 'AAAA', 'raidcall.com.', '164', '1712625070000', '0.22676098346710205', '866401023', '0', '0', 'ans', '', '2a03:2880:f11c:8183:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880::/32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712635828', 'facebook.com.', '60', 'IN', 'AAAA', '2a03:2880:f134:83:face:b00c:0:25de', '50862', '24.144.31.66']['AAAA', '114zw.la.', 'AAAA', '114zw.la.', '148', '1712628485000', '0.25502049922943115', '866401023', '0', '0', 'ans', '', '2a03:2880:f134:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f134::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712695859', 'facebook.com.', '39', 'IN', 'AAAA', '2a03:2880:f10a:83:face:b00c:0:25de', '53683', '98.208.234.225']['AAAA', 'www.1xbet88.com.', 'AAAA', 'www.1xbet88.com.', '208', '1712621570000', '0.1472839117050171', '866401023', '0', '0', 'ans', '', '2a03:2880:f10a:83:face:b00c:0:25de', '--', '32934', '[32934]', '2a03:2880:f10a::/48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
