['2024-04-09', '1712640651', 'facebook.com.', '168', 'IN', 'A', '65.49.26.99', '51162', '2409:8a55:42f:a1a0:1:adff:fe4f:ea7b']['A', '365kk.net.', 'A', '365kk.net.', '154', '1712628265000', '0.449055939912796', '866401023', '0', '0', 'ans', '65.49.26.99', '', 'US', '60154', '[60154]', '65.49.26.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712682015', 'facebook.com.', '243', 'IN', 'A', '128.242.240.59', '60314', '180.154.35.109']['A', 'www.o4vag.com.', 'A', 'www.o4vag.com.', '193', '1712626342000', '0.3294365108013153', '866401023', '0', '0', 'ans', '128.242.240.59', '', 'US', '2914', '[2914]', '128.242.0.0/16', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712686882', 'facebook.com.', '151', 'IN', 'A', '162.125.32.13', '51162', '120.230.116.212']['A', 'www.aichatos.com.', 'A', 'www.aichatos.com.', '210', '1712621852000', '0.15064361691474915', '866401023', '0', '0', 'ans', '162.125.32.13', '', 'US', '19679', '[19679]', '162.125.32.0/21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712635634', 'google.com.', '106', 'IN', 'A', '216.58.206.78', '50151', '95.81.122.245']['A', 'kinotaz.one.', 'A', 'kinotaz.one.', '287', '1712622894000', '0.013142064213752747', '866401023', '0', '0', 'ans', '216.58.206.78', '', 'US', '15169', '[15169]', '216.58.206.0/23', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712696813', 'google.com.', '60', 'IN', 'A', '46.82.174.69', '1000418', '2408:4005:200:5006::1']['A', 'www.i5cloud.com.', 'A', 'www.i5cloud.com.', '60', '1712627384000', '0.3499259352684021', '866401023', '0', '0', 'ans', '46.82.174.69', '', 'DE', '3320', '[3320]', '46.80.0.0/12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712643774', 'facebook.com.', '186', 'IN', 'A', '157.240.7.8', '51162', '2409:8a55:42f:a1a0:1:adff:fe4f:ea7b']['A', 'hideipproxy.com.', 'A', 'hideipproxy.com.', '109', '1712624371000', '0.2536119520664215', '866401023', '0', '0', 'ans', '157.240.7.8', '', 'SG', '32934', '[32934]', '157.240.7.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693825', 'google.com.', '68', 'IN', 'A', '216.58.208.110', '31971', '109.89.132.150']['A', 'www.appspot.com.', 'A', 'www.appspot.com.', '300', '1712625305000', '0.01843106746673584', '866401023', '0', '0', 'ans', '216.58.208.110', '', 'US', '15169', '[15169]', '216.58.208.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712654415', 'google.com.', '2216', 'IN', 'A', '172.217.23.206', '62933', '2a02:a466:a67:0:da58:d7ff:fe03:8f0']['A', 'kinoz.digital.', 'A', 'kinoz.digital.', '103', '1712627475000', '0.006308436393737793', '866401023', '0', '0', 'ans', '172.217.23.206', '', 'DE', '15169', '[15169]', '172.217.23.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712694965', 'facebook.com.', '146', 'IN', 'A', '104.244.43.136', '1007899', '112.48.5.95']['A', '95shubao.net.', 'A', '95shubao.net.', '193', '1712629379000', '0.32902103662490845', '866401023', '0', '0', 'ans', '104.244.43.136', '', 'US', '54113', '[54113]', '104.244.43.0/24', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712693743', 'google.com.', '132', 'IN', 'A', '142.250.179.174', '31971', '109.89.132.150']['A', 'zavenetworks.com.', 'A', 'zavenetworks.com.', '300', '1712625486000', '0.008581623435020447', '866401023', '0', '0', 'ans', '142.250.179.174', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712677900', 'google.com.', '204', 'IN', 'A', '142.250.179.142', '1007269', '185.43.245.154']['A', 'www.se1f.cc.', 'A', 'google.com.', '300', '1712627478000', '0.0137404203414917', '866401023', '0', '0', 'ans', '142.250.179.142', '', 'US', '15169', '[15169]', '142.250.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['2024-04-09', '1712697238', 'google.com.', '60', 'IN', 'A', '93.46.8.90', '1007740', '2409:8a55:d84e:7c31:fc82:9ff:fe9a:b658']['A', 'www.xf83q0q5.xyz.', 'A', 'www.xf83q0q5.xyz.', '60', '1712625367000', '0.24451249092817307', '866401023', '0', '0', 'ans', '93.46.8.90', '', 'IT', '12874', '[12874]', '93.46.0.0/15', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
